Title,Artist_name,Time_duration
Kya Karte They Sajna," S. D. Burman, Mohammed Rafi,",7:02
O Haseena Zulfonwale Jane Jahan," Shankar-Jaikishan, Lata Mangeshkar, Manna Dey,",6:53
Bekhudi Mein Sanam," S. D. Burman, Kishore Kumar, Asha Bhosle,",4:20
An Evening In Paris," S. D. Burman, Geeta Dutt,",5:18
Kora Kagaz Tha Yeh Man Mera," Asha Bhosle,",5:40
Hamne Dekhi Hai Un Ankhon Ki," Salil Chowdhury, Mukesh,",3:44
Aage Bhi Jaane Na," Salil Chowdhury, Kishore Kumar,",7:28
Woh Sham Kuchh Ajeeb Thi," Talat Mahmood,",4:46
Tere Ghar Ke Samne," Shamshad Begum,",3:30
Main Zindagi Ka Saath Nibhata Chala Gaya," Shankar-Jaikishan, Asha Bhosle, Manna Dey,",3:50
Aye Meri Zohra Jabeen," S. D. Burman, Hemant Kumar,",3:53
Gulabi Ankhen (The Train / Soundtrack Version)," S. D. Burman, Kishore Kumar, Asha Bhosle,",3:18
Na Tum Hamen Jano," Vasant Desai, Lata Mangeshkar,",3:21
Pukarta Chala Hoon Main," Shankar-Jaikishan, Mukesh,",3:51
Aaja Aaja Main Hoon Pyar Tera," O. P. Nayyar, Geeta Dutt,",5:25
Ehsan Tera Hoga Mujh Par - Lata Mangeshkar," Lata Mangeshkar,",3:31
Chaudhvin Ka Chand Ho," O. P. Nayyar, Kishore Kumar, Shamshad Begum,",3:44
Pyar Kiya To Darna Kya," Lata Mangeshkar, Hemant Kumar,",6:22
Zindagi Bhar Nahin," S. D. Burman, Kishore Kumar,",3:19
Khoya Khoya Chand Khula Aasman," Madan Mohan, Geeta Dutt,",4:40
Ho Main Ne Pyar Kiya," S. D. Burman, Shamshad Begum,",4:45
Madhuban Mein Radhika Nache Re," Shankar-Jaikishan, Manna Dey,",6:02
Ehsan Tera Hoga Mujh Par," Suraiya,",3:27
Koi Hamdam Na Raha," Ghulam Haider, Surinder Kaur,",4:32
Teri Pyari Pyari Soorat Ko," Mukesh,",3:20
Aye Gulbadan," Talat Mahmood,",3:20
Beliya," S. D. Burman, Kishore Kumar, Asha Bhosle,",3:46
NO LOVE," Talat Mahmood,",2:50
Pasoori," Hemant Kumar, Lata Mangeshkar,",3:44
Dhokha," Shankar-Jaikishan, Mukesh, Shailendra,",4:05
Mast Nazron Se," Naushad, Lata Mangeshkar, Mohammed Rafi,",4:49
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")"," Lata Mangeshkar, Chitalkar,",3:31
Never Fold (feat. Sunny Malton)," Lata Mangeshkar, Mukesh,",3:03
Kuch Baatein," Shankar-Jaikishan, Lata Mangeshkar, Mukesh,",4:45
Tumse Pyaar Karke," Talat Mahmood,",3:54
"Galliyan Returns (From ""Ek Villain Returns"")"," Husnlal Bhagatram, Suraiya,",5:50
Everybody Hurts," C. Ramchandra, Lata Mangeshkar, Amirbai Karnataki,",2:53
The Last Ride," K.L.Saigal,",4:22
Bamb Agya," Shamshad Begum, C. Ramchandra,",3:20
Meri Jaan," Pritam, Arijit Singh, Amitabh Bhattacharya,",3:58
Mehabooba," Tanishk Bagchi, Jubin Nautiyal, Asees Kaur,",3:33
Yaad Na Aaye," Arijit Singh, Manan Bhardwaj,",3:15
Kachiyaan Kachiyaan," Jeetu Sharma,",5:29
Ijazzat Hai," Stebin Ben,",3:15
Meri Tarah," Javed-Mohsin, Stebin Ben, Shreya Ghoshal,",4:50
Levels (feat. Sunny Malton)," Arijit Singh, Parampara Tandon,",3:48
Kana Yaari," Payal Dev, Jubin Nautiyal,",3:46
Halki Si Barsaat," Yasser Desai, Neeti Mohan,",3:32
"Nikamma (From ""Nikamma"")"," Payal Dev, Stebin Ben,",2:48
Jaa Rahe Ho," Sachet Tandon,",4:07
Dhokebaaz," Jubin Nautiyal, Tanishk Bagchi, Nusrat Fateh Ali Khan,",4:25
